id,name,state,zipcode,USNewsRank
1,Washington-Univ. of ,WA,98195,
2,M.I.T.,MA,2139,
3,California- Univ. of   Berkeley,CA,94720,
4,Texas-Univ. of   Austin (eid = gs26459),TX,78712,
5,Illinois-Univ. of   Urbana-Champaign,IL,61801,
6,California-Univ. of   Santa Barbara,CA,93106,
7,Maryland-Univ. of   College Park,MD,20742,
8,Rutgers Univ.   New Brunswick,NJ,8854,
9,Chicago-Univ. of,IL,60637,
10,California-Univ. of   Los Angeles (UCLA),CA,90095,
11,Colorado School of Mines,CO,80401,
12,Penn State Univ.,PA,16802,
13,Colorado-Univ. of   Boulder,CO,80309,
14,Virginia-Univ. of,VA,22904,
15,Brigham Young Univ.,UT,84602,
16,Ohio State Univ.,OH,43210,
17,Columbia Univ. (+ Appl Sci),NY,10027,
18,Rensselaer Polytechnic Institute,NY,12180,
19,Cornell Univ. (Phys + Appl),NY,14853,
20,California-Univ. of   Santa Cruz,CA,95064,
21,Minnesota-Univ. of   Minneapolis,MN,55455,
22,Harvard Univ.,MA,2138,
23,Michigan-Univ. of   Ann Arbor,MI,48109,
24,Arizona State Univ.,AZ,85287,
25,California-Univ. of   San Diego,CA,92093,
26,SUNY U at Stony Brook,NY,11794,
27,SUNY Coll. at Geneseo,NY,14454,
28,California-Univ. of   Davis,CA,95616,
29,Michigan State Univ.,MI,48824,
30,North Carolina State Univ.,NC,27695,
31,Carnegie Mellon Univ.,PA,15213,
32,Yale Univ.,CT,6520,
33,Purdue Univ.-West Lafayette,IN,47907,
34,Notre Dame-Univ. of,IN,46556,
35,Loyola Univ. Chicago,IL,60626,
36,Brown Univ.,RI,2912,
37,Cal Poly State Univ. - San Luis Obispo,CA,93407,
38,Utah-Univ. of ,UT,84112,
39,MA-Univ. of   Amherst,MA,1003,
40,Florida-Univ. of   Gainsville,FL,32611,
41,North Carolina-Univ. of   Chapel Hill,NC,27599,
42,Georgia Inst. of Tech. (Georgia Tech),GA,30332,
43,Wisconsin-Univ. of   Madison,WI,53706,
44,North Carolina-Univ. of   Charlotte,NC,28223,
45,St. Olaf College (51),MN,55075,
46,Western Washington Univ.,WA,98225,
47,U.S. Naval Academy,MD,21402,
48,Boston Univ.,MA,2215,
49,Oregon-Univ. of   Eugene,OR,97403,
50,Arkansas-Univ. of   Fayetteville,AR,72701,
51,Cal Inst of Tech,CA,91125,
52,Wisconsin-Univ. of   La Crosse,WI,54601,
53,Northern Arizona Univ.,AZ,86011,
54,Washington Univ. in St. Louis,MO,63130,
55,Central Florida-Univ. of  ,FL,32816,
56,SUNY U at Albany,NY,12222,
57,Johns Hopkins Univ.,MD,21218,
58,Virginia Tech,VA,24061,
59,California-Univ. of   Irvine,CA,92697,
60,New Jersey-College of ,NJ,8618,
61,Rochester-Univ. of ,NY,14627,
62,Rowan Univ.,NJ,8028,
63,Washington and Lee Univ.,VA,24450,
64,Indiana Univ.   Bloomington,IN,47405-,
65,Arizona-Univ. of   Tucson,AZ,85721,
66,Case Western Reserve Univ.,OH,44106,
67,Duke Univ.,NC,27708,
68,California-Univ. of   Riverside,CA,92521,
69,Reed College,OR,97202,
70,Wisconsin-Univ. of   Eau Claire,WI,54702-,
71,Tennessee-Univ. of   Knoxville,TN,37996-,
72,Princeton Univ.,NJ,08540-,
73,Pennsylvania-Univ. of,PA,19104,
74,Cal State Univ.-Long Beach,CA,90840,
75,New York Univ.   School of Arts & Sci,NY,10003,
76,Oregon State Univ.,OR,97331,
77,Stanford Univ.,CA,94305,
78,Bethel Univ.,MN,55112-,
79,Williams College,MA,1267,
80,Harvey Mudd College,CA,91711,
81,Clemson Univ.,SC,29634-,
82,Portland State Univ.,OR,97207,
83,Emory Univ.,GA,30322,
84,Northeastern Univ.,MA,2115,
85,Georgia State Univ.,GA,30303,
86,Appalachian State Univ.,NC,28608-,
87,Gustavus Adolphus (79),MN,56082-,
88,Cal Poly.-Pomona,CA,91768,
89,Rice Univ.,TX,77251-,
90,Carleton College (8),MN,55057,
91,Louisiana State Univ.   Baton Rouge,LA,70803,
92,Angelo State Univ.,TX,76909,
93,Rochester Institute of Technology,NY,14623,
94,South Florida-Univ. of ,FL,33620-,
95,Bowdoin College,ME,4011,
96,Pittsburgh-Univ. of,PA,15260,
97,St. John's Univ.,NY,11439,
98,Whitworth Univ.,WA,99251,
99,Miami Univ. of Ohio,OH,45056,
100,Texas-Univ. of   Arlington,TX,76019-,
101,James Madison Univ.,VA,22807-,
102,Virginia Commonwealth,VA,23284-,
103,SUNY U at Binghamton,NY,13901-,
104,Louisville-Univ. of ,KY,40292-,
105,Illinois State Univ.,IL,61790-,
106,Maryland-Univ. of   Baltimore County,MD,21250,
107,Iowa-Univ. of ,IA,52242-,
108,Wake Forest Univ.,NC,27106-,
109,Central Washington Univ.,WA,98926-,
110,North Texas-Univ. of ,TX,76203-,
111,Florida International Univ.,FL,33199-,
112,Worcester Polytechnic Institute,MA,1609,
113,Texas-Univ. of   San Antonio,TX,78229-,
114,Wesleyan Univ. (Middletown   CT),CT,06457-,
115,William & Mary-College of ,VA,23185-,
116,Brigham Young Univ. _ Idaho,ID,83460-,
117,Embry-Riddle Aeronautical Univ. (should be Florida),FL,32114,
118,SUNY U at Buffalo   Amherst,NY,14260,
119,Ithaca College,NY,14850-,
120,Towson State Univ.,MD,21204-,
121,George Mason Univ.,VA,22030,
122,Colby College,ME,04901-,
123,Missouri-Univ. of   Columbia (Mizzou),MO,65211-,
124,Utah State Univ.,UT,84322-,
125,Connecticut-Univ. of ,CT,06269-,
126,Georgetown Univ.,DC,20057-,
127,Wayne State Univ.,MI,48202-,
128,Kalamazoo College (71),MI,49006-,
129,Boston College,MA,2467,
130,Texas-Univ. of   Dallas,TX,75080,
131,Christopher Newport Univ.,VA,23606-,
132,Kutztown Univ.,PA,19530,
133,Widener Univ.,PA,19013-,
134,Fordham Univ.,NY,10458,
135,North Georgia-Univ. of ,GA,30597-,
136,Dartmouth College,NH,03755-,
137,CUNY xCenter   City College,NY,10031-,
138,Middle Tennessee Univ.,TN,37132-,
139,Georgia-Univ. of ,GA,30602-,
140,Texas-Univ. of   El Paso (UTEP),TX,79968-,
141,Nevada-Univ. of   Reno,NV,89557-,
